City_ID,City,Country,Date,Longitude,Latitude,Max Temperature,Humidity,Cloudiness,Wind speed
0,victoria,HK,1584297580,114.16,22.29,68.0,77,20,9.17
1,reshetylivka,UA,1584297695,34.08,49.56,31.44,53,87,11.52
2,margate,GB,1584297647,1.39,51.38,53.01,76,75,14.99
3,cape town,ZA,1584297695,18.42,-33.93,64.99,68,20,29.97
4,rikitea,PF,1584297695,-134.97,-23.12,77.88,81,76,12.77
5,tezu,IN,1584297695,96.17,27.92,65.46,70,93,3.69
6,kailua,US,1584297695,-157.74,21.4,78.8,69,90,6.93
7,kangaatsiaq,GL,1584297696,-53.46,68.31,0.48,91,100,8.37
8,bulgan,MN,1584297696,103.53,48.81,23.34,67,90,7.45
9,morozovsk,RU,1584297696,41.83,48.35,31.08,52,29,9.82
10,hithadhoo,MV,1584297462,73.08,-0.6,84.18,57,34,3.85
11,khatanga,RU,1584297696,102.5,71.97,-16.26,90,100,8.81
12,likasi,CD,1584297696,26.73,-10.98,65.64,94,97,1.9
13,saint-georges,GD,1584297696,-61.75,12.06,77.0,94,75,4.7
14,geraldton,AU,1584297697,114.6,-28.77,66.2,88,72,4.7
15,provideniya,RU,1584297697,-173.3,64.38,25.68,98,100,5.23
16,khandyga,RU,1584297697,135.6,62.67,-16.98,89,38,3.04
17,arlit,NE,1584297697,7.39,18.74,82.02,9,0,7.61
18,kahului,US,1584297697,-156.47,20.89,71.6,88,40,6.93
19,albany,US,1584297697,-73.97,42.6,46.0,17,1,8.05
20,belaya gora,RU,1584297697,146.42,68.53,-26.34,96,0,1.7
21,hervey bay,AU,1584297698,152.85,-25.3,71.6,60,90,14.99
22,lircay,PE,1584297698,-74.72,-12.99,69.8,43,75,4.7
23,bluff,NZ,1584297698,168.33,-46.6,53.01,92,76,10.0
24,ushuaia,AR,1584297482,-68.3,-54.8,64.4,52,40,8.05
25,kapaa,US,1584297462,-159.32,22.08,75.2,73,40,10.29
26,tasiilaq,GL,1584297698,-37.64,65.61,8.6,42,100,21.92
27,kandrian,PG,1584297698,149.55,-6.22,75.0,93,100,6.6
28,sola,VU,1584297699,167.55,-13.88,85.62,78,88,23.87
29,nikolskoye,RU,1584297699,30.79,59.7,35.01,59,30,11.18
30,topeka,US,1584297659,-95.68,39.05,39.2,80,90,8.05
31,naushki,RU,1584297699,106.11,50.38,25.86,80,84,2.77
32,mataura,NZ,1584297699,168.86,-46.19,53.01,92,68,10.0
33,gat,IL,1584297699,34.76,31.61,63.0,82,66,3.36
34,roma,US,1584297424,-75.46,43.21,41.0,27,1,9.17
35,tiksi,RU,1584297700,128.87,71.69,3.0,87,99,18.37
36,chapais,CA,1584297700,-74.85,49.78,8.6,46,1,10.29
37,los llanos de aridane,ES,1584297700,-17.92,28.66,66.2,63,20,19.46
38,burnie,AU,1584297700,145.92,-41.07,55.99,93,26,5.01
39,ostrovnoy,RU,1584297700,39.51,68.05,25.5,89,100,24.23
40,hasaki,JP,1584297700,140.83,35.73,37.4,86,20,5.82
41,skjervoy,NO,1584297700,20.97,70.03,26.58,59,82,15.73
42,hermanus,ZA,1584297700,19.23,-34.42,64.99,77,26,7.0
43,ciudad del maiz,MX,1584297701,-99.6,22.4,78.01,44,90,8.99
44,mahebourg,MU,1584297701,57.7,-20.41,77.0,83,40,5.01
45,yerbogachen,RU,1584297701,108.01,61.28,28.38,96,100,10.56
46,the pas,CA,1584297701,-101.25,53.83,10.4,55,75,6.93
47,gonbad-e qabus,IR,1584297701,55.17,37.25,55.4,82,75,1.68
48,kavieng,PG,1584297702,150.8,-2.57,84.54,70,100,7.74
49,arraial do cabo,BR,1584297702,-42.03,-22.97,86.0,66,0,16.11
50,mar del plata,AR,1584297675,-57.56,-38.0,66.2,63,75,11.41
51,punta arenas,CL,1584297702,-70.92,-53.15,62.6,63,75,34.45
52,auki,SB,1584297702,160.7,-8.77,84.36,74,100,7.4
53,fallon,US,1584297440,-118.78,39.47,51.8,32,75,24.16
54,luanda,AO,1584297702,13.23,-8.84,84.2,79,40,9.17
55,codrington,AU,1584297702,141.97,-38.27,58.62,78,0,14.36
56,qaanaaq,GL,1584297703,-69.36,77.48,-12.3,64,100,2.39
57,verkhnyaya inta,RU,1584297703,60.31,65.98,-3.66,84,0,5.73
58,touros,BR,1584297425,-35.46,-5.2,82.4,78,75,11.41
59,rio grande,BR,1584297443,-52.1,-32.03,80.6,61,90,9.17
60,san vicente,AR,1584297703,-54.13,-26.62,95.88,22,17,4.05
61,vaini,TO,1584297703,-175.2,-21.2,77.0,94,90,6.93
62,hobart,AU,1584297651,147.33,-42.88,53.6,71,90,1.12
63,bathsheba,BB,1584297704,-59.52,13.22,82.4,69,75,10.29
64,jamestown,US,1584297704,-79.24,42.1,44.01,38,1,10.29
65,klyuchevskiy,RU,1584297704,119.45,53.53,9.3,97,85,2.24
66,vardo,NO,1584297704,31.11,70.37,19.4,79,94,27.51
67,srivardhan,IN,1584297704,73.02,18.03,76.62,53,10,4.12
68,cherskiy,RU,1584297704,161.3,68.75,-2.22,97,98,4.79
69,bowling green,US,1584297704,-86.44,36.99,44.6,70,90,9.17
70,xuddur,SO,1584297705,43.89,4.12,84.9,39,52,9.93
71,gwadar,PK,1584297705,62.33,25.12,73.38,70,100,1.74
72,meulaboh,ID,1584297705,96.13,4.14,85.08,70,60,0.76
73,lorengau,PG,1584297705,147.27,-2.02,83.28,75,100,12.33
74,hambantota,LK,1584297705,81.12,6.12,80.76,80,0,14.7
75,avarua,CK,1584297705,-159.78,-21.21,80.6,94,77,1.12
76,pacifica,US,1584297706,-122.49,37.61,53.6,71,75,11.41
77,makakilo city,US,1584297706,-158.09,21.35,78.8,100,75,4.7
78,hilo,US,1584297580,-155.09,19.73,73.4,73,90,4.7
79,inhambane,MZ,1584297706,35.38,-23.86,80.6,74,20,4.7
80,new norfolk,AU,1584297463,147.06,-42.78,53.6,71,90,1.12
81,cockburn town,TC,1584297706,-71.14,21.46,74.82,74,0,16.75
82,beberibe,BR,1584297707,-38.13,-4.18,86.0,70,75,9.17
83,umba,RU,1584297707,34.34,66.69,28.02,87,100,15.57
84,tuktoyaktuk,CA,1584297707,-133.04,69.45,-2.2,77,90,20.8
85,hearst,CA,1584297564,-83.67,49.68,18.66,80,45,0.74
86,korla,CN,1584297707,86.15,41.76,45.0,60,91,1.01
87,gambela,ET,1584297707,34.58,8.25,82.38,56,51,6.22
88,port hedland,AU,1584297707,118.57,-20.32,80.6,88,0,6.93
89,longyearbyen,SJ,1584297708,15.64,78.22,-5.8,63,40,4.7
90,westerly,US,1584297423,-71.83,41.38,51.01,19,1,8.05
91,syracuse,IT,1584297708,15.28,37.09,60.8,77,75,6.93
92,outjo,NA,1584297708,16.15,-20.12,71.6,73,41,6.31
93,chokurdakh,RU,1584297708,147.92,70.63,-22.2,71,0,4.07
94,bitag,PH,1584297708,121.85,17.9,66.9,94,96,2.75
95,luderitz,NA,1584297709,15.16,-26.65,71.6,60,0,17.22
96,madimba,TZ,1584297709,40.33,-10.4,82.02,77,95,2.91
97,henties bay,NA,1584297709,14.28,-22.12,62.01,92,0,1.01
98,busselton,AU,1584297705,115.33,-33.65,63.0,73,42,9.8
99,berlevag,NO,1584297709,29.09,70.86,26.6,49,20,8.05
100,usakos,NA,1584297710,15.6,-22.0,77.7,31,0,8.84
101,falam,MM,1584297710,93.68,22.92,58.44,51,6,1.66
102,asau,RO,1584297710,26.4,46.43,30.2,42,0,5.82
